Main_Source_of_Income,Education_Expenditure,Household_Head_Sex,Household_Head_Age,Total_members_employed
Wage/Salaries,89095,Female,42,1
Enterpreneurial Activities,20500,Female,38,0
Wage/Salaries,0,Female,43,2
Other sources of Income,1970,Female,42,0
Wage/Salaries,1180,Female,72,1
Other sources of Income,92500,Male,46,1
Wage/Salaries,20050,Female,54,3
Wage/Salaries,0,Male,65,3
Wage/Salaries,1900,Male,58,5
Wage/Salaries,9300,Male,30,1
Enterpreneurial Activities,1015,Female,39,0
Enterpreneurial Activities,350,Female,40,0
Wage/Salaries,14500,Male,44,2
Wage/Salaries,520,Female,45,2
Other sources of Income,3380,Male,72,0
Wage/Salaries,1250,Male,46,1
Wage/Salaries,26100,Male,61,2
Enterpreneurial Activities,16604,Male,57,2
Other sources of Income,70820,Male,49,0
Other sources of Income,5450,Male,65,0
Other sources of Income,500,Male,74,0
Other sources of Income,0,Male,64,0
Wage/Salaries,0,Male,47,4
Wage/Salaries,5800,Male,49,1
Wage/Salaries,1490,Male,65,2
Enterpreneurial Activities,4210,Male,48,1
Enterpreneurial Activities,1540,Male,67,0
Wage/Salaries,110000,Male,54,2
Wage/Salaries,19200,Male,42,2
Wage/Salaries,10800,Female,44,2
Wage/Salaries,0,Male,73,2
Other sources of Income,2600,Female,63,2
Wage/Salaries,9000,Male,32,1
Other sources of Income,61000,Male,65,1
Other sources of Income,5800,Male,75,1
Other sources of Income,8550,Male,51,1
Wage/Salaries,1850,Male,39,2
Enterpreneurial Activities,0,Male,53,0
Wage/Salaries,250,Male,28,0
Enterpreneurial Activities,3500,Male,47,0
Wage/Salaries,820,Male,42,1
Wage/Salaries,660,Male,36,0
Enterpreneurial Activities,0,Male,23,0
Wage/Salaries,100,Male,42,0
Enterpreneurial Activities,0,Male,43,0
Enterpreneurial Activities,300,Female,70,0
Wage/Salaries,5500,Male,48,1
Enterpreneurial Activities,200,Male,32,0
Other sources of Income,0,Female,69,1
Enterpreneurial Activities,200,Male,36,0
Other sources of Income,750,Male,53,0
Enterpreneurial Activities,0,Male,58,0
Other sources of Income,0,Female,59,1
Wage/Salaries,300,Male,57,1
Wage/Salaries,0,Male,73,1
Wage/Salaries,250,Female,36,1
Enterpreneurial Activities,400,Male,47,0
Other sources of Income,600,Male,45,1
Wage/Salaries,450,Male,55,1
Wage/Salaries,200,Female,48,0
Other sources of Income,0,Female,68,1
Wage/Salaries,580,Male,62,2
Wage/Salaries,0,Male,49,1
Wage/Salaries,1200,Male,59,2
Enterpreneurial Activities,20150,Male,57,0
Other sources of Income,1150,Female,35,1
Enterpreneurial Activities,600,Male,56,0
Wage/Salaries,1170,Male,39,1
Other sources of Income,31005,Female,62,1
Wage/Salaries,0,Male,42,1
Wage/Salaries,350,Female,33,4
Wage/Salaries,300,Male,52,2
Wage/Salaries,1100,Male,49,2
Wage/Salaries,5800,Male,42,1
Other sources of Income,890,Male,80,3
Other sources of Income,670,Male,62,1
Other sources of Income,2120,Male,60,3
Wage/Salaries,0,Male,34,1
Other sources of Income,0,Male,65,1
Wage/Salaries,280,Male,47,1
Other sources of Income,668,Male,27,1
Other sources of Income,1875,Female,76,2
Wage/Salaries,1200,Male,30,1
Wage/Salaries,1340,Male,32,2
Other sources of Income,0,Male,71,0
Wage/Salaries,0,Male,62,3
Enterpreneurial Activities,350,Male,65,1
Enterpreneurial Activities,0,Male,64,0
Wage/Salaries,2760,Male,56,1
Other sources of Income,2140,Female,32,0
Other sources of Income,9000,Male,61,2
Wage/Salaries,2150,Male,47,1
Wage/Salaries,48040,Male,52,2
Other sources of Income,0,Female,70,1
Wage/Salaries,800,Male,33,2
Wage/Salaries,0,Male,38,2
Wage/Salaries,3000,Male,73,1
Wage/Salaries,1865,Male,51,2
Enterpreneurial Activities,14100,Male,45,0
Other sources of Income,730,Female,73,0
Wage/Salaries,15100,Male,40,2
Wage/Salaries,850,Male,51,3
Wage/Salaries,2870,Male,60,3
Wage/Salaries,0,Male,33,1
Wage/Salaries,280,Male,57,2
Wage/Salaries,0,Male,77,1
Wage/Salaries,4350,Male,40,1
Other sources of Income,0,Male,65,0
Other sources of Income,12160,Female,17,0
Other sources of Income,0,Female,64,0
Wage/Salaries,1580,Male,49,5
Wage/Salaries,360,Female,58,1
Wage/Salaries,430,Male,63,1
Wage/Salaries,0,Male,41,1
Wage/Salaries,0,Male,71,1
Wage/Salaries,1285,Male,31,1
Enterpreneurial Activities,1960,Male,32,0
Wage/Salaries,3000,Male,55,2
Enterpreneurial Activities,950,Male,30,0
Wage/Salaries,1275,Male,47,2
Wage/Salaries,3132,Female,47,1
Wage/Salaries,590,Male,29,1
Other sources of Income,0,Female,85,0
Wage/Salaries,0,Male,28,1
Wage/Salaries,0,Female,57,1
Other sources of Income,135,Male,54,0
Other sources of Income,0,Male,72,0
Wage/Salaries,560,Male,46,3
Other sources of Income,0,Male,39,1
Other sources of Income,60,Male,40,1
Enterpreneurial Activities,270,Male,43,0
Enterpreneurial Activities,0,Female,40,0
Wage/Salaries,15300,Male,43,2
Enterpreneurial Activities,0,Male,26,1
Other sources of Income,3000,Female,62,0
Wage/Salaries,0,Male,20,1
Wage/Salaries,500,Male,49,1
Wage/Salaries,1050,Female,77,1
Enterpreneurial Activities,20,Female,55,0
Wage/Salaries,10170,Female,43,1
Enterpreneurial Activities,0,Male,57,1
Wage/Salaries,14075,Male,49,2
Enterpreneurial Activities,0,Female,84,0
Wage/Salaries,850,Male,47,2
Wage/Salaries,1500,Male,50,1
Wage/Salaries,400,Male,34,1
Wage/Salaries,1230,Male,40,1
Wage/Salaries,12260,Female,43,2
Enterpreneurial Activities,11300,Male,38,1
Wage/Salaries,0,Male,22,1
Other sources of Income,0,Female,81,0
Wage/Salaries,1060,Male,51,2
Enterpreneurial Activities,6700,Female,40,1
Enterpreneurial Activities,14010,Male,49,1
Wage/Salaries,0,Male,61,2
Wage/Salaries,1300,Male,41,1
Enterpreneurial Activities,20277,Male,45,1
Wage/Salaries,19128,Male,58,4
Enterpreneurial Activities,1070,Male,63,0
Other sources of Income,0,Male,61,0
Other sources of Income,0,Male,46,1
Other sources of Income,0,Male,35,1
Other sources of Income,54379,Female,73,0
Other sources of Income,205,Male,64,0
Wage/Salaries,0,Male,61,3
Other sources of Income,300,Female,65,1
Enterpreneurial Activities,195,Male,75,0
Other sources of Income,2035,Male,58,1
Wage/Salaries,18380,Male,43,2
Other sources of Income,2888,Male,66,0
Wage/Salaries,7500,Male,56,3
Enterpreneurial Activities,15380,Male,49,0
Wage/Salaries,2258,Male,30,1
Other sources of Income,0,Male,70,2
Wage/Salaries,940,Male,34,2
Enterpreneurial Activities,615,Male,51,1
Wage/Salaries,6306,Male,39,2
Other sources of Income,0,Male,64,0
Enterpreneurial Activities,0,Male,57,0
Wage/Salaries,450,Male,34,2
Wage/Salaries,20045,Male,46,1
Wage/Salaries,3300,Male,45,5
Other sources of Income,21400,Male,67,1
Wage/Salaries,24100,Female,63,1
Wage/Salaries,420,Male,48,2
Wage/Salaries,10400,Male,49,2
Wage/Salaries,0,Male,56,1
Enterpreneurial Activities,1170,Male,49,1
Wage/Salaries,370,Male,58,1
Wage/Salaries,17301,Male,58,1
Other sources of Income,180,Male,64,0
Other sources of Income,6860,Female,67,1
Enterpreneurial Activities,300,Male,33,0
Wage/Salaries,0,Male,52,2
Wage/Salaries,770,Female,78,1
Other sources of Income,0,Male,74,0
Wage/Salaries,280,Male,66,2
Enterpreneurial Activities,280,Male,60,1
Enterpreneurial Activities,360,Male,53,2
Enterpreneurial Activities,1240,Female,74,0
Other sources of Income,180,Female,50,1
Other sources of Income,1620,Male,39,1
Other sources of Income,0,Male,58,0
Enterpreneurial Activities,540,Male,60,0
Enterpreneurial Activities,240,Male,34,1
Wage/Salaries,0,Male,55,1
Enterpreneurial Activities,0,Male,49,1
Wage/Salaries,1030,Male,39,1
Wage/Salaries,0,Male,59,1
Other sources of Income,0,Male,59,0
Enterpreneurial Activities,0,Male,73,0
Enterpreneurial Activities,250,Male,57,2
Other sources of Income,0,Female,70,0
Wage/Salaries,1050,Male,38,1
Other sources of Income,510,Female,36,0
Wage/Salaries,1180,Male,40,2
Wage/Salaries,985,Male,30,1
Enterpreneurial Activities,1695,Male,34,1
Wage/Salaries,550,Female,59,2
Wage/Salaries,0,Male,44,2
Other sources of Income,1030,Male,48,1
Wage/Salaries,10550,Male,47,2
Wage/Salaries,260,Male,41,1
Other sources of Income,105,Female,37,0
Wage/Salaries,13900,Female,60,1
Wage/Salaries,18200,Female,51,1
Other sources of Income,0,Female,79,0
Enterpreneurial Activities,530,Male,39,0
Wage/Salaries,2120,Male,25,2
Enterpreneurial Activities,300,Male,41,1
Wage/Salaries,530,Male,50,2
Wage/Salaries,1130,Male,56,1
Wage/Salaries,1760,Female,36,2
Other sources of Income,0,Female,50,1
Enterpreneurial Activities,320,Male,44,1
Other sources of Income,0,Male,73,0
Wage/Salaries,0,Female,74,3
Enterpreneurial Activities,8650,Male,51,3
Enterpreneurial Activities,72881,Male,42,0
Other sources of Income,930,Male,74,0
Other sources of Income,0,Male,31,1
Wage/Salaries,32570,Male,54,2
Other sources of Income,2420,Female,55,3
Wage/Salaries,0,Female,66,3
Other sources of Income,5600,Female,67,0
Other sources of Income,0,Female,75,0
Wage/Salaries,17355,Female,45,2
Wage/Salaries,31329,Male,52,2
Enterpreneurial Activities,180000,Male,54,0
Wage/Salaries,19524,Male,49,1
Other sources of Income,11120,Male,45,1
Other sources of Income,0,Female,67,0
Enterpreneurial Activities,6000,Male,60,0
Other sources of Income,1155,Male,42,1
Enterpreneurial Activities,600,Male,72,0
Enterpreneurial Activities,1200,Male,46,0
Enterpreneurial Activities,0,Male,66,2
Wage/Salaries,1650,Male,61,2
Other sources of Income,0,Male,68,1
Wage/Salaries,25690,Male,62,1
Wage/Salaries,5030,Male,41,2
Enterpreneurial Activities,0,Male,65,0
Enterpreneurial Activities,0,Male,61,2
Enterpreneurial Activities,1600,Male,35,1
Wage/Salaries,0,Male,63,2
Wage/Salaries,17450,Male,40,1
Wage/Salaries,765,Male,42,1
Wage/Salaries,14450,Male,43,2
Enterpreneurial Activities,980,Female,51,1
Enterpreneurial Activities,2000,Male,44,1
Enterpreneurial Activities,15680,Male,48,0
Other sources of Income,13240,Female,39,1
Enterpreneurial Activities,7800,Female,69,1
Wage/Salaries,1489,Male,34,1
Other sources of Income,0,Female,74,1
Wage/Salaries,1420,Male,60,1
Enterpreneurial Activities,8490,Female,42,1
Wage/Salaries,1460,Male,69,2
Other sources of Income,26300,Male,57,1
Other sources of Income,4000,Male,71,0
Wage/Salaries,19120,Female,62,1
Wage/Salaries,1310,Male,57,4
Wage/Salaries,17002,Female,54,2
Wage/Salaries,840,Male,68,1
Wage/Salaries,0,Male,53,1
Other sources of Income,0,Female,63,0
Wage/Salaries,0,Male,55,2
Other sources of Income,0,Female,48,1
Wage/Salaries,5550,Male,39,2
Wage/Salaries,23797,Male,49,2
Wage/Salaries,1420,Female,39,0
Wage/Salaries,14120,Male,62,2
Other sources of Income,0,Female,81,1
Wage/Salaries,30050,Male,50,1
Enterpreneurial Activities,1800,Male,37,1
Wage/Salaries,930,Male,66,2
Wage/Salaries,0,Male,25,1
Wage/Salaries,2450,Female,64,2
Wage/Salaries,15810,Male,41,3
Wage/Salaries,210,Male,56,3
Wage/Salaries,5850,Male,54,2
Wage/Salaries,600,Male,58,3
Wage/Salaries,400,Male,46,1
Wage/Salaries,11150,Male,44,1
Wage/Salaries,0,Male,43,2
Wage/Salaries,0,Male,66,2
Wage/Salaries,270,Male,41,1
Wage/Salaries,390,Male,55,3
Wage/Salaries,100,Female,65,1
Other sources of Income,0,Female,65,0
Enterpreneurial Activities,50,Male,50,0
Wage/Salaries,0,Female,72,2
Wage/Salaries,410,Male,28,1
Wage/Salaries,950,Male,47,2
Enterpreneurial Activities,30000,Male,60,0
Wage/Salaries,150,Male,36,1
Wage/Salaries,0,Male,39,2
Wage/Salaries,0,Male,48,1
Wage/Salaries,161000,Male,62,1
Wage/Salaries,0,Male,39,2
Wage/Salaries,400,Male,43,1
Wage/Salaries,6890,Male,46,1
Wage/Salaries,2168,Male,37,1
Other sources of Income,17010,Male,45,2
Enterpreneurial Activities,2500,Male,55,1
Enterpreneurial Activities,850,Male,31,1
Other sources of Income,2100,Male,66,1
Other sources of Income,1250,Male,56,3
Enterpreneurial Activities,1840,Male,46,0
Enterpreneurial Activities,410,Male,46,1
Enterpreneurial Activities,840,Female,38,0
Enterpreneurial Activities,700,Male,53,0
Wage/Salaries,330,Male,33,1
Other sources of Income,1400,Male,78,1
Enterpreneurial Activities,430,Male,41,1
Enterpreneurial Activities,0,Male,83,1
Enterpreneurial Activities,2280,Male,46,1
Wage/Salaries,650,Male,51,2
Wage/Salaries,670,Male,52,1
Wage/Salaries,2360,Male,33,0
Other sources of Income,1080,Female,32,1
Wage/Salaries,1300,Male,52,1
Other sources of Income,1485,Male,38,1
Other sources of Income,1300,Female,71,0
Enterpreneurial Activities,0,Male,50,1
Enterpreneurial Activities,1925,Male,46,2
Wage/Salaries,450,Female,62,1
Enterpreneurial Activities,10860,Male,32,1
Wage/Salaries,40285,Female,54,2
Wage/Salaries,25930,Female,44,2
Other sources of Income,1412,Male,70,0
Wage/Salaries,1830,Male,36,2
Wage/Salaries,16790,Male,49,1
Wage/Salaries,435,Male,43,3
Other sources of Income,730,Male,33,1
Wage/Salaries,2515,Male,46,1
Wage/Salaries,2460,Female,52,1
Other sources of Income,970,Female,81,0
Other sources of Income,7840,Female,79,0
Enterpreneurial Activities,17500,Male,60,2
Wage/Salaries,1135,Male,54,3
Enterpreneurial Activities,850,Male,33,0
Wage/Salaries,2160,Female,63,3
Other sources of Income,520,Male,51,0
Enterpreneurial Activities,320,Male,21,1
Wage/Salaries,2560,Male,29,2
Enterpreneurial Activities,400,Male,30,1
Enterpreneurial Activities,300,Male,49,1
Enterpreneurial Activities,4600,Male,55,1
Wage/Salaries,0,Male,56,1
Enterpreneurial Activities,840,Male,42,1
Enterpreneurial Activities,850,Male,80,0
Wage/Salaries,989,Male,50,4
Wage/Salaries,0,Male,50,0
Wage/Salaries,610,Male,68,1
Enterpreneurial Activities,0,Female,71,0
Wage/Salaries,4110,Male,45,1
Enterpreneurial Activities,1200,Male,53,0
Wage/Salaries,650,Male,35,2
Wage/Salaries,200,Male,42,1
Enterpreneurial Activities,0,Female,56,0
Other sources of Income,1480,Male,66,1
Other sources of Income,6950,Male,66,0
Wage/Salaries,350,Male,61,3
Enterpreneurial Activities,675,Male,56,1
Wage/Salaries,150,Male,43,1
Other sources of Income,100,Male,65,1
Other sources of Income,0,Male,77,1
Other sources of Income,700,Male,73,0
Other sources of Income,2200,Male,75,0
Wage/Salaries,450,Male,69,3
Wage/Salaries,0,Male,67,2
Wage/Salaries,2200,Male,64,2
Wage/Salaries,0,Female,60,1
Wage/Salaries,1725,Male,58,1
Wage/Salaries,970,Male,34,2
Enterpreneurial Activities,350,Male,39,0
Enterpreneurial Activities,2900,Male,58,0
Other sources of Income,14600,Male,52,1
Other sources of Income,0,Male,78,0
Other sources of Income,180,Male,66,2
Wage/Salaries,0,Male,76,1
Other sources of Income,0,Male,70,1
Other sources of Income,790,Male,58,2
Enterpreneurial Activities,0,Male,67,0
Wage/Salaries,120,Male,42,2
Enterpreneurial Activities,0,Male,49,1
Other sources of Income,0,Male,60,1
Other sources of Income,0,Female,71,0
Other sources of Income,875,Male,68,0
Other sources of Income,3735,Male,50,0
Other sources of Income,480,Male,80,1
Enterpreneurial Activities,0,Male,40,1
Enterpreneurial Activities,0,Male,53,3
Other sources of Income,840,Female,68,1
Enterpreneurial Activities,1180,Male,47,0
Wage/Salaries,3310,Male,35,2
Other sources of Income,34230,Male,45,1
Other sources of Income,0,Female,82,1
Wage/Salaries,67900,Male,49,1
Wage/Salaries,200,Male,80,2
Enterpreneurial Activities,1100,Male,51,2
Wage/Salaries,0,Male,56,3
Other sources of Income,17020,Female,50,1
Enterpreneurial Activities,400,Male,54,1
Wage/Salaries,400,Male,49,1
Wage/Salaries,80,Male,45,2
Enterpreneurial Activities,295,Female,62,1
Wage/Salaries,720,Male,43,2
Wage/Salaries,15400,Male,53,3
Other sources of Income,620,Male,67,0
Wage/Salaries,0,Male,48,2
Wage/Salaries,630,Male,30,1
Wage/Salaries,55333,Male,53,2
Other sources of Income,32100,Male,78,0
Enterpreneurial Activities,12660,Male,58,0
Wage/Salaries,300,Female,79,2
Enterpreneurial Activities,3300,Male,39,0
Enterpreneurial Activities,325,Male,47,0
Wage/Salaries,2970,Male,36,2
Enterpreneurial Activities,20285,Male,47,0
Enterpreneurial Activities,0,Male,24,0
Enterpreneurial Activities,12047,Male,46,1
Enterpreneurial Activities,40413,Male,50,0
Enterpreneurial Activities,700,Male,60,1
Wage/Salaries,1220,Male,41,2
Enterpreneurial Activities,710,Male,54,1
Enterpreneurial Activities,1550,Male,74,0
Enterpreneurial Activities,61702,Male,54,1
Other sources of Income,350,Male,52,3
Wage/Salaries,250,Male,37,2
Wage/Salaries,6900,Female,62,2
Enterpreneurial Activities,0,Male,64,1
Enterpreneurial Activities,0,Male,65,1
Enterpreneurial Activities,460,Male,35,0
Enterpreneurial Activities,100,Male,64,0
Enterpreneurial Activities,26000,Male,55,0
Enterpreneurial Activities,275,Male,64,0
Enterpreneurial Activities,10850,Male,59,0
Enterpreneurial Activities,1330,Male,36,0
Enterpreneurial Activities,350,Male,70,0
Other sources of Income,440,Male,84,1
Other sources of Income,0,Male,78,0
Enterpreneurial Activities,2570,Male,47,1
Wage/Salaries,1685,Male,55,1
Wage/Salaries,0,Male,55,1
Wage/Salaries,290,Male,26,1
Wage/Salaries,9980,Male,50,2
Other sources of Income,0,Female,71,0
Wage/Salaries,20440,Male,52,2
Wage/Salaries,620,Female,52,2
Wage/Salaries,1420,Male,43,2
Wage/Salaries,820,Male,51,1
Other sources of Income,14810,Male,42,1
Enterpreneurial Activities,1020,Male,59,0
Wage/Salaries,110,Male,22,1
Enterpreneurial Activities,85,Male,60,3
Wage/Salaries,330,Male,27,0
Wage/Salaries,890,Male,33,1
Enterpreneurial Activities,0,Male,60,0
Enterpreneurial Activities,5470,Male,54,1
Enterpreneurial Activities,0,Male,66,0
Other sources of Income,3770,Female,64,1
Other sources of Income,610,Female,80,0
Wage/Salaries,2180,Male,41,2
Other sources of Income,1530,Male,57,0
Wage/Salaries,0,Male,49,1
Wage/Salaries,430,Male,28,1
Other sources of Income,210,Female,57,0
Enterpreneurial Activities,0,Male,66,0
Other sources of Income,0,Male,61,1
Wage/Salaries,997,Male,26,1
Wage/Salaries,1120,Male,45,2
Wage/Salaries,1560,Male,40,1
Wage/Salaries,735,Female,37,1
Wage/Salaries,2420,Male,54,2
Wage/Salaries,920,Male,40,1
Wage/Salaries,1900,Male,37,2
Wage/Salaries,500,Male,40,4
Wage/Salaries,4200,Male,39,2
Other sources of Income,0,Male,72,0
Enterpreneurial Activities,13620,Male,60,0
Wage/Salaries,2365,Male,29,2
Enterpreneurial Activities,2000,Male,36,1
Wage/Salaries,0,Male,23,1
Enterpreneurial Activities,1450,Male,37,2
Wage/Salaries,1520,Male,54,1
Wage/Salaries,21020,Male,36,1
Wage/Salaries,340,Male,31,1
Wage/Salaries,1740,Male,27,3
Wage/Salaries,3800,Male,51,1
Enterpreneurial Activities,0,Male,57,2
Wage/Salaries,1360,Male,42,0
Enterpreneurial Activities,2126,Male,71,0
Wage/Salaries,580,Male,61,3
Other sources of Income,265,Male,82,2
Enterpreneurial Activities,0,Male,46,0
Enterpreneurial Activities,1228,Male,36,1
Wage/Salaries,0,Male,49,2
Enterpreneurial Activities,3652,Male,63,0
Wage/Salaries,1635,Male,40,2
Wage/Salaries,0,Male,60,3
Enterpreneurial Activities,12659,Male,45,1
Enterpreneurial Activities,530,Male,29,0
Wage/Salaries,7900,Male,53,2
Enterpreneurial Activities,8300,Male,41,2
Other sources of Income,1720,Male,37,1
Enterpreneurial Activities,250,Male,58,0
Wage/Salaries,1560,Male,43,2
Other sources of Income,0,Male,81,0
Other sources of Income,1034,Male,30,1
Enterpreneurial Activities,1700,Male,71,1
Wage/Salaries,7910,Male,45,1
Enterpreneurial Activities,10770,Male,62,0
Enterpreneurial Activities,0,Male,80,0
Wage/Salaries,8150,Female,55,2
Enterpreneurial Activities,250,Male,33,0
Wage/Salaries,2500,Male,55,1
Other sources of Income,15200,Male,52,2
Other sources of Income,68980,Male,64,0
Wage/Salaries,1070,Male,50,4
Other sources of Income,5300,Female,47,0
Enterpreneurial Activities,1120,Male,55,0
Enterpreneurial Activities,20150,Male,60,0
Wage/Salaries,300,Male,43,2
Wage/Salaries,6750,Male,75,1
Other sources of Income,0,Male,73,3
Wage/Salaries,1100,Male,53,1
Other sources of Income,0,Male,73,0
Other sources of Income,240,Female,66,1
Other sources of Income,0,Male,63,1
Other sources of Income,0,Female,98,0
Wage/Salaries,1000,Male,64,3
Other sources of Income,0,Female,75,0
Other sources of Income,13700,Male,38,1
Enterpreneurial Activities,24235,Male,55,0
Other sources of Income,1200,Female,73,0
Wage/Salaries,550,Male,87,3
Wage/Salaries,58600,Female,77,3
Other sources of Income,4480,Male,62,1
Enterpreneurial Activities,17150,Female,69,0
Wage/Salaries,0,Male,63,2
Other sources of Income,0,Male,51,0
Enterpreneurial Activities,3650,Male,31,1
Other sources of Income,59250,Female,21,1
Other sources of Income,1175,Male,42,1
Wage/Salaries,675,Male,34,1
Other sources of Income,0,Female,73,1
Other sources of Income,4340,Female,48,0
Other sources of Income,960,Male,64,0
Wage/Salaries,7345,Female,63,3
Wage/Salaries,0,Male,61,3
Wage/Salaries,14350,Male,51,3
Other sources of Income,28900,Female,27,1
Other sources of Income,40696,Female,42,1
Other sources of Income,69600,Female,47,1
Enterpreneurial Activities,13950,Male,44,0
Wage/Salaries,148200,Male,43,2
Other sources of Income,1500,Male,65,0
Wage/Salaries,0,Male,37,1
Other sources of Income,47200,Female,41,1
Wage/Salaries,0,Male,49,3
Wage/Salaries,880,Male,36,4
Wage/Salaries,0,Female,41,1
Wage/Salaries,1975,Male,39,2
Wage/Salaries,250,Male,32,1
Enterpreneurial Activities,1040,Male,53,2
Wage/Salaries,88900,Male,39,2
Other sources of Income,500,Female,74,1
Wage/Salaries,1410,Male,36,1
Enterpreneurial Activities,31000,Male,48,1
Wage/Salaries,82300,Male,54,2
Wage/Salaries,0,Male,79,3
Wage/Salaries,0,Male,48,2
Enterpreneurial Activities,51050,Male,48,0
Wage/Salaries,0,Male,48,4
Enterpreneurial Activities,0,Male,52,0
Wage/Salaries,2000,Male,43,1
Wage/Salaries,620,Male,35,1
Wage/Salaries,6150,Male,42,2
Wage/Salaries,3500,Male,18,2
Wage/Salaries,15900,Male,74,1
Enterpreneurial Activities,0,Male,60,1
Other sources of Income,48420,Female,82,1
Wage/Salaries,0,Male,71,1
Enterpreneurial Activities,141324,Male,44,0
Wage/Salaries,1105,Male,36,1
Wage/Salaries,46200,Male,46,1
Enterpreneurial Activities,600,Male,40,0
Wage/Salaries,150,Female,57,0
Other sources of Income,330,Female,84,2
Wage/Salaries,0,Male,50,2
Enterpreneurial Activities,0,Male,41,1
Wage/Salaries,2950,Female,62,1
Other sources of Income,500,Male,68,0
Other sources of Income,11350,Male,60,2
Enterpreneurial Activities,755,Male,36,0
Wage/Salaries,0,Female,57,1
Wage/Salaries,650,Male,54,2
Enterpreneurial Activities,7950,Male,57,0
Wage/Salaries,1140,Male,43,4
Wage/Salaries,1480,Female,65,2
Wage/Salaries,995,Male,38,1
Wage/Salaries,0,Male,44,1
Other sources of Income,7555,Male,62,1
Enterpreneurial Activities,49300,Male,63,0
Other sources of Income,1555,Male,55,3
Other sources of Income,1625,Female,61,1
Other sources of Income,23430,Male,70,1
Enterpreneurial Activities,1860,Male,41,1
Wage/Salaries,1660,Female,66,3
Other sources of Income,21450,Female,68,0
Wage/Salaries,1290,Male,58,2
Wage/Salaries,1360,Female,37,3
Other sources of Income,55160,Male,39,0
Other sources of Income,770,Female,30,2
Wage/Salaries,0,Male,52,3
Wage/Salaries,3415,Female,61,1
Wage/Salaries,1460,Male,35,2
Other sources of Income,2930,Male,59,2
Other sources of Income,32010,Male,52,2
Other sources of Income,19475,Male,62,2
Other sources of Income,0,Male,76,0
Wage/Salaries,1020,Male,55,7
Wage/Salaries,0,Male,56,1
Wage/Salaries,1360,Male,41,3
Wage/Salaries,7270,Male,41,4
Wage/Salaries,0,Male,49,5
Wage/Salaries,0,Female,59,3
Wage/Salaries,90340,Female,65,2
Wage/Salaries,0,Male,51,4
Other sources of Income,1165,Male,67,1
Other sources of Income,1510,Male,46,1
Wage/Salaries,1110,Male,34,2
Wage/Salaries,1060,Male,36,3
Enterpreneurial Activities,435,Male,63,0
Other sources of Income,38395,Female,74,2
Other sources of Income,1346,Male,36,2
Wage/Salaries,13700,Male,43,1
Other sources of Income,0,Female,75,0
Enterpreneurial Activities,400,Male,53,0
Wage/Salaries,2345,Male,74,2
Other sources of Income,560,Female,84,0
Other sources of Income,0,Male,76,0
Wage/Salaries,50,Male,50,3
Wage/Salaries,815,Male,33,1
Enterpreneurial Activities,19270,Male,51,0
Enterpreneurial Activities,720,Female,68,1
Wage/Salaries,1100,Male,53,2
Other sources of Income,0,Female,75,0
Wage/Salaries,450,Female,44,2
Enterpreneurial Activities,0,Male,65,1
Wage/Salaries,1610,Male,49,3
Wage/Salaries,8150,Male,59,1
Wage/Salaries,680,Female,65,1
Wage/Salaries,7750,Male,49,1
Enterpreneurial Activities,50900,Male,54,1
Wage/Salaries,101000,Female,57,2
Wage/Salaries,21200,Male,56,1
Other sources of Income,0,Female,74,0
Wage/Salaries,0,Male,60,1
Wage/Salaries,1500,Male,43,1
Other sources of Income,4270,Female,43,0
Other sources of Income,0,Male,73,1
Other sources of Income,5080,Female,61,2
Wage/Salaries,2750,Male,75,1
Other sources of Income,0,Male,84,1
Wage/Salaries,14350,Male,49,2
Other sources of Income,1880,Female,66,1
Other sources of Income,15750,Male,65,1
Wage/Salaries,1270,Male,71,1
Wage/Salaries,0,Male,39,2
Other sources of Income,14500,Female,85,0
Wage/Salaries,2185,Female,66,1
Wage/Salaries,555,Male,70,1
Wage/Salaries,16750,Male,54,1
Enterpreneurial Activities,1350,Male,36,1
Wage/Salaries,34920,Male,50,2
Wage/Salaries,3600,Male,54,3
Other sources of Income,0,Female,77,0
Other sources of Income,65950,Female,44,1
Wage/Salaries,1100,Male,45,2
Wage/Salaries,530,Female,36,2
Wage/Salaries,550,Male,26,1
Wage/Salaries,1200,Male,52,3
Other sources of Income,915,Male,65,2
Wage/Salaries,0,Male,58,2
Wage/Salaries,0,Male,60,1
Wage/Salaries,0,Female,70,2
Other sources of Income,14000,Male,52,1
Wage/Salaries,700,Male,33,2
Wage/Salaries,3600,Male,45,3
Wage/Salaries,500,Male,38,2
Wage/Salaries,600,Male,36,1
Other sources of Income,0,Male,65,0
Other sources of Income,7350,Female,76,0
Enterpreneurial Activities,11490,Male,41,0
Enterpreneurial Activities,2070,Male,49,1
Other sources of Income,0,Male,69,1
Enterpreneurial Activities,0,Male,44,1
Other sources of Income,0,Female,86,0
Wage/Salaries,0,Female,72,1
Enterpreneurial Activities,3075,Male,53,1
Other sources of Income,1865,Male,81,0
Wage/Salaries,0,Male,59,3
Wage/Salaries,200,Male,64,2
Wage/Salaries,17480,Female,64,2
Wage/Salaries,0,Male,60,2
Other sources of Income,1170,Male,22,1
Wage/Salaries,1400,Male,80,1
Other sources of Income,300,Male,70,1
Other sources of Income,14680,Female,69,0
Wage/Salaries,28400,Male,45,2
Wage/Salaries,15850,Male,74,0
Other sources of Income,1160,Male,69,0
Wage/Salaries,2520,Male,39,1
